52.2087 20.9297	541
52.2220 20.9175	602
41.3381	-22.5630 12192
41.3169	-22.6409 12192
41.2944	-22.7232 12184
41.2509	-22.8813 12192
41.2304	-22.9558 12192
41.2065	-23.0421 12184
41.1842	-23.1226 12192
41.1622	-23.2014 12192
41.1398	-23.2814 12184
41.1176	-23.3605 12192
41.0950	-23.4409 12192
41.0733	-23.5178 12184
41.0506	-23.5980 12192
41.0291	-23.6736 12184
41.0061	-23.7540 12192
40.9838	-23.8321 12192
40.9614	-23.9104 12192
40.9338	-24.0067 12192
40.9011	-24.1198 12184
40.8781	-24.1991 12184
40.8560	-24.2752 12192
40.8321	-24.3572 12184
40.8034	-24.4551 12184
40.7758	-24.5491 12192
40.7493	-24.6391 12192
40.7269	-24.7147 12192
40.7040	-24.7918 12184
40.6814	-24.8679 12192
40.6638	-24.9269 12192
40.6435	-24.9945 12184
40.6112	-25.1031 12192
40.5881	-25.1796 12192
40.5655	-25.2545 12192
40.5425	-25.3305 12184
40.5194	-25.4066 12192
40.4966	-25.4814 12192
40.4655	-25.5832 12192
40.4432	-25.6560 12184
40.4203	-25.7306 12192
40.3975	-25.8046 12192
40.3653	-25.9085 12192
40.3417	-25.9848 12184
40.3185	-26.0593 12192
40.2948	-26.1355 12192
40.2713	-26.2109 12192
40.2475	-26.2867 12192
40.2238	-26.3619 12184
40.2005	-26.4357 12184
40.1764	-26.5112 12184
40.1529	-26.5856 12184
40.1188	-26.6933 12192
40.0955	-26.7662 12192
40.0716	-26.8409 12184
40.0478	-26.9147 12184
40.0243	-26.9880 12184
39.9999	-27.0632 12192
39.9764	-27.1360 12192
39.9523	-27.2103 12184
39.9282	-27.2846 12184
39.9049	-27.3563 12192
39.8824	-27.4250 12184
39.8526	-27.5156 12184
39.8294	-27.5863 12192
39.8041	-27.6633 12184
39.7799	-27.7367 12184
39.7559	-27.8088 12184
39.7326	-27.8787 12192
39.7078	-27.9534 12192
39.6818	-28.0310 12192
39.6575	-28.1033 12192
39.6332	-28.1759 12184
39.6091	-28.2480 12192
39.5849	-28.3194 12184
